"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1140","test_fetch_questions_success","tests","Tue Jul 29 23:05:48 IST 2025","passed","Tue Jul 29 23:05:49 IST 2025","","test_api","",""
"","13805","test_retry_quiz","tests","Tue Jul 29 23:06:54 IST 2025","passed","Tue Jul 29 23:07:08 IST 2025","","test_results","",""
"","16048","test_home_button","tests","Tue Jul 29 23:07:15 IST 2025","passed","Tue Jul 29 23:07:31 IST 2025","","test_results","",""
"","3223","test_home_ui","tests","Tue Jul 29 23:06:29 IST 2025","passed","Tue Jul 29 23:06:32 IST 2025","TestHome","test_home","",""
"","12247","test_quiz_ui","tests","Tue Jul 29 23:06:37 IST 2025","failed","Tue Jul 29 23:06:49 IST 2025","TestQuiz","test_quiz","",""
"","17807","test_api_ui_question_and_answer_match","tests","Tue Jul 29 23:06:07 IST 2025","failed","Tue Jul 29 23:06:25 IST 2025","","test_api_ui_flow","",""
